2025-11-25 21:50:54,199 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,199 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,200 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,200 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,202 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,202 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,203 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,203 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,203 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,205 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,205 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,205 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,206 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,206 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,206 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,207 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,207 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,207 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,209 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,209 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,209 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,211 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,211 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,211 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:54,214 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,216 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,218 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,218 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,224 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,226 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,230 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,232 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,237 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,243 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,246 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,251 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,251 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,259 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,263 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,267 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,272 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,272 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,272 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,275 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,277 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,278 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,280 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,281 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,282 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,283 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,284 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,286 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,287 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,288 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,291 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,292 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,292 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,295 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,296 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,297 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,298 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,301 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,302 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,303 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,304 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | NodeNetworkNavigation is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | Pedestrian, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | BaseTrafficLight, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | TrafficBarrier, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | TrafficCone, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,306 | DEBUG | root | LVehicle, ID:None is destroyed
2025-11-25 21:50:54,312 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,313 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,314 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,314 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,315 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,315 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,315 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,316 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,316 | DEBUG | root | XLVehicle, ID:None is destroyed
2025-11-25 21:50:54,316 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,317 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,320 | DEBUG | root | SVehicle, ID:None is destroyed
2025-11-25 21:50:54,662 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 21:50:54,664 | DEBUG | root | MVehicle, ID:None is destroyed
2025-11-25 22:03:38,897 | DEBUG | matplotlib | matplotlib data path: C:\Users\Pushpak Chakraborty\Desktop\Final Year Project\venv\lib\site-packages\matplotlib\mpl-data
2025-11-25 22:03:38,900 | DEBUG | matplotlib | CONFIGDIR=C:\Users\Pushpak Chakraborty\.matplotlib
2025-11-25 22:03:38,904 | DEBUG | matplotlib | interactive is False
2025-11-25 22:03:38,904 | DEBUG | matplotlib | platform is win32
2025-11-25 22:03:39,221 | DEBUG | matplotlib | CACHEDIR=C:\Users\Pushpak Chakraborty\.matplotlib
2025-11-25 22:03:39,224 | DEBUG | matplotlib.font_manager | Using fontManager instance from C:\Users\Pushpak Chakraborty\.matplotlib\fontlist-v330.json
2025-11-25 22:03:42,325 | DEBUG | root | forward
2025-11-25 22:03:42,375 | DEBUG | root | forward
2025-11-25 22:03:42,401 | DEBUG | root | forward
2025-11-25 22:03:42,456 | DEBUG | root | forward
2025-11-25 22:03:42,554 | DEBUG | root | destruct
2025-11-25 22:03:42,565 | DEBUG | root | sibling
2025-11-25 22:03:42,661 | DEBUG | root | destruct
2025-11-25 22:03:42,671 | DEBUG | root | sibling
2025-11-25 22:03:42,813 | DEBUG | root | destruct
2025-11-25 22:03:42,821 | DEBUG | root | sibling
2025-11-25 22:03:42,906 | DEBUG | root | destruct
2025-11-25 22:03:42,914 | DEBUG | root | sibling
2025-11-25 22:03:43,013 | DEBUG | root | destruct
2025-11-25 22:03:43,021 | DEBUG | root | back
2025-11-25 22:03:43,055 | DEBUG | root | Roundabout, ID:None is destroyed
2025-11-25 22:03:43,055 | DEBUG | root | sibling
2025-11-25 22:03:43,121 | DEBUG | root | forward
2025-11-25 22:03:43,214 | DEBUG | root | forward
2025-11-25 22:03:43,318 | DEBUG | root | forward
2025-11-25 22:03:43,354 | DEBUG | root | forward
2025-11-25 22:03:43,465 | DEBUG | root | forward
